,Rank,NOC,Gold,Silver,Bronze,Total,Year,Past_Gold,Past_Silver,Past_Bronze,Past_Total
838,6,FRA,13,14,11,38,2000,15.0,7.0,15.0,37.0
839,7,ITA,13,8,13,34,2000,13.0,10.0,12.0,35.0
840,8,NED,12,9,4,25,2000,4.0,5.0,10.0,19.0
841,9,CUB,11,11,7,29,2000,9.0,8.0,8.0,25.0
842,10,GBR,11,10,7,28,2000,1.0,8.0,6.0,15.0
843,11,ROU,11,6,9,26,2000,4.0,7.0,9.0,20.0
844,12,KOR,8,10,10,28,2000,7.0,15.0,5.0,27.0
845,13,HUN,8,6,3,17,2000,7.0,4.0,10.0,21.0
846,14,POL,6,5,3,14,2000,7.0,5.0,5.0,17.0
847,15,JPN,5,8,5,18,2000,3.0,6.0,5.0,14.0
848,16,BUL,5,6,2,13,2000,3.0,7.0,5.0,15.0
849,17,GRE,4,6,3,13,2000,4.0,4.0,0.0,8.0
850,18,SWE,4,5,3,12,2000,2.0,4.0,2.0,8.0
851,19,NOR,4,3,3,10,2000,2.0,2.0,3.0,7.0
852,20,ETH,4,1,3,8,2000,2.0,0.0,1.0,3.0
853,21,UKR,3,10,10,23,2000,9.0,2.0,12.0,23.0
854,22,KAZ,3,4,0,7,2000,3.0,4.0,4.0,11.0
855,23,BLR,3,3,11,17,2000,1.0,6.0,8.0,15.0
856,24,CAN,3,3,8,14,2000,3.0,11.0,8.0,22.0
857,25,ESP,3,3,5,11,2000,5.0,6.0,6.0,17.0
858,26,TUR,3,0,2,5,2000,4.0,1.0,1.0,6.0
859,27,IRI,3,0,1,4,2000,1.0,1.0,1.0,3.0
860,28,CZE,2,3,3,8,2000,4.0,3.0,4.0,11.0
861,29,KEN,2,3,2,7,2000,1.0,4.0,3.0,8.0
862,30,DEN,2,3,1,6,2000,4.0,1.0,1.0,6.0
863,31,FIN,2,1,1,4,2000,1.0,2.0,1.0,4.0
864,32,AUT,2,1,0,3,2000,0.0,1.0,2.0,3.0
865,33,LTU,2,0,3,5,2000,0.0,0.0,1.0,1.0
866,34,AZE,2,0,1,3,2000,0.0,1.0,0.0,1.0
867,34,BAH,2,0,1,3,2000,0.0,1.0,0.0,1.0
868,36,SLO,2,0,0,2,2000,0.0,2.0,0.0,2.0
869,37,SUI,1,6,2,9,2000,4.0,3.0,0.0,7.0
870,38,INA,1,3,2,6,2000,1.0,1.0,2.0,4.0
871,39,SVK,1,3,1,5,2000,1.0,1.0,1.0,3.0
872,40,MEX,1,2,3,6,2000,0.0,0.0,1.0,1.0
873,41,NGR,1,2,0,3,2000,2.0,1.0,3.0,6.0
874,42,ALG,1,1,3,5,2000,2.0,0.0,1.0,3.0
875,43,UZB,1,1,2,4,2000,0.0,1.0,1.0,2.0
876,44,YUG,1,1,1,3,2000,1.0,1.0,2.0,4.0
877,44,LAT,1,1,1,3,2000,0.0,1.0,0.0,1.0
878,46,NZL,1,0,3,4,2000,3.0,2.0,1.0,6.0
879,47,EST,1,0,2,3,2000,1.0,0.0,1.0,2.0
880,47,THA,1,0,2,3,2000,1.0,0.0,1.0,2.0
881,49,CRO,1,0,1,2,2000,1.0,1.0,0.0,2.0
882,50,CMR,1,0,0,1,2000,0.0,0.0,1.0,1.0
883,50,COL,1,0,0,1,2000,0.0,0.0,1.0,1.0
884,50,MOZ,1,0,0,1,2000,0.0,0.0,1.0,1.0
885,53,BRA,0,6,6,12,2000,3.0,3.0,9.0,15.0
886,54,JAM,0,6,3,9,2000,1.0,3.0,2.0,6.0
887,55,BEL,0,2,3,5,2000,2.0,2.0,2.0,6.0
888,55,RSA,0,2,3,5,2000,3.0,1.0,1.0,5.0
889,57,ARG,0,2,2,4,2000,0.0,2.0,1.0,3.0
890,58,MAR,0,1,4,5,2000,0.0,0.0,2.0,2.0
891,58,TPE,0,1,4,5,2000,0.0,1.0,0.0,1.0
892,60,PRK,0,1,3,4,2000,2.0,1.0,2.0,5.0
893,61,KSA,0,1,1,2,2000,,,,
894,61,MDA,0,1,1,2,2000,0.0,1.0,1.0,2.0
895,61,TTO,0,1,1,2,2000,0.0,0.0,2.0,2.0
896,64,IRL,0,1,0,1,2000,3.0,0.0,1.0,4.0
897,64,SRI,0,1,0,1,2000,0.0,1.0,0.0,1.0
898,64,URU,0,1,0,1,2000,0.0,0.0,1.0,1.0
899,64,VIE,0,1,0,1,2000,,,,
900,68,GEO,0,0,6,6,2000,0.0,0.0,2.0,2.0
901,69,CRC,0,0,2,2,2000,1.0,0.0,0.0,1.0
902,69,POR,0,0,2,2,2000,1.0,0.0,1.0,2.0
903,71,ARM,0,0,1,1,2000,1.0,1.0,0.0,2.0
904,71,BAR,0,0,1,1,2000,,,,
905,71,CHI,0,0,1,1,2000,0.0,1.0,0.0,1.0
906,71,IND,0,0,1,1,2000,0.0,0.0,1.0,1.0
907,71,ISL,0,0,1,1,2000,0.0,0.0,1.0,1.0
908,71,ISR,0,0,1,1,2000,0.0,0.0,1.0,1.0
909,71,KGZ,0,0,1,1,2000,,,,
910,71,KUW,0,0,1,1,2000,,,,
911,71,MKD,0,0,1,1,2000,,,,
912,71,QAT,0,0,1,1,2000,0.0,0.0,1.0,1.0
913,1,USA,36,39,26,101,2004,37.0,24.0,32.0,93.0
914,2,CHN,32,17,14,63,2004,28.0,16.0,14.0,58.0
915,3,RUS,28,26,36,90,2004,32.0,28.0,29.0,89.0
916,4,AUS,17,16,17,50,2004,16.0,25.0,17.0,58.0
917,5,JPN,16,9,12,37,2004,5.0,8.0,5.0,18.0
918,6,GER,13,16,20,49,2004,13.0,17.0,26.0,56.0
919,7,FRA,11,9,13,33,2004,13.0,14.0,11.0,38.0
920,8,ITA,10,11,11,32,2004,13.0,8.0,13.0,34.0
921,9,KOR,9,12,9,30,2004,8.0,10.0,10.0,28.0
922,10,GBR,9,9,12,30,2004,11.0,10.0,7.0,28.0
923,11,CUB,9,7,11,27,2004,11.0,11.0,7.0,29.0
924,12,HUN,8,6,3,17,2004,8.0,6.0,3.0,17.0
925,13,UKR,8,5,9,22,2004,3.0,10.0,10.0,23.0
926,14,ROU,8,5,6,19,2004,11.0,6.0,9.0,26.0
927,15,GRE,6,6,4,16,2004,4.0,6.0,3.0,13.0
928,16,BRA,5,2,3,10,2004,0.0,6.0,6.0,12.0
929,17,NOR,5,0,1,6,2004,4.0,3.0,3.0,10.0
930,18,NED,4,9,9,22,2004,12.0,9.0,4.0,25.0
931,19,SWE,4,2,1,7,2004,4.0,5.0,3.0,12.0
932,20,ESP,3,11,6,20,2004,3.0,3.0,5.0,11.0
933,21,CAN,3,6,3,12,2004,3.0,3.0,8.0,14.0
934,22,TUR,3,3,4,10,2004,3.0,0.0,2.0,5.0
935,23,POL,3,2,5,10,2004,6.0,5.0,3.0,14.0
936,24,NZL,3,2,0,5,2004,1.0,0.0,3.0,4.0
937,25,THA,3,1,4,8,2004,1.0,0.0,2.0,3.0
938,26,BLR,2,5,6,13,2004,3.0,3.0,11.0,17.0
939,27,AUT,2,4,1,7,2004,2.0,1.0,0.0,3.0
940,28,ETH,2,3,2,7,2004,4.0,1.0,3.0,8.0
941,29,IRI,2,2,2,6,2004,3.0,0.0,1.0,4.0
942,29,SVK,2,2,2,6,2004,1.0,3.0,1.0,5.0
943,31,TPE,2,2,1,5,2004,0.0,1.0,4.0,5.0
944,32,GEO,2,2,0,4,2004,0.0,0.0,6.0,6.0
945,33,BUL,2,1,9,12,2004,5.0,6.0,2.0,13.0
946,34,DEN,2,1,5,8,2004,2.0,3.0,1.0,6.0
947,35,JAM,2,1,2,5,2004,0.0,6.0,3.0,9.0
948,35,UZB,2,1,2,5,2004,1.0,1.0,2.0,4.0
949,37,MAR,2,1,0,3,2004,0.0,1.0,4.0,5.0
950,38,ARG,2,0,4,6,2004,0.0,2.0,2.0,4.0
951,39,CHI,2,0,1,3,2004,0.0,0.0,1.0,1.0
952,40,KAZ,1,4,3,8,2004,3.0,4.0,0.0,7.0
953,41,KEN,1,4,2,7,2004,2.0,3.0,2.0,7.0
954,42,CZE,1,3,5,9,2004,2.0,3.0,3.0,8.0
955,43,RSA,1,3,2,6,2004,0.0,2.0,3.0,5.0
956,44,CRO,1,2,2,5,2004,1.0,0.0,1.0,2.0
957,45,LTU,1,2,0,3,2004,2.0,0.0,3.0,5.0
958,46,EGY,1,1,3,5,2004,0.0,1.0,0.0,1.0
959,46,SUI,1,1,3,5,2004,1.0,6.0,2.0,9.0
960,48,INA,1,1,2,4,2004,1.0,3.0,2.0,6.0
961,49,ZIM,1,1,1,3,2004,1.0,0.0,0.0,1.0
962,50,AZE,1,0,4,5,2004,2.0,0.0,1.0,3.0
963,51,BEL,1,0,2,3,2004,0.0,2.0,3.0,5.0
964,52,BAH,1,0,1,2,2004,2.0,0.0,1.0,3.0
965,52,ISR,1,0,1,2,2004,0.0,0.0,1.0,1.0
966,54,CMR,1,0,0,1,2004,1.0,0.0,0.0,1.0
967,54,DOM,1,0,0,1,2004,0.0,0.0,1.0,1.0
968,54,UAE,1,0,0,1,2004,,,,
969,57,PRK,0,4,1,5,2004,0.0,1.0,3.0,4.0
970,58,LAT,0,4,0,4,2004,1.0,1.0,1.0,3.0
971,59,MEX,0,3,1,4,2004,1.0,2.0,3.0,6.0
972,60,POR,0,2,1,3,2004,0.0,0.0,2.0,2.0
973,61,FIN,0,2,0,2,2004,2.0,1.0,1.0,4.0
974,61,SCG,0,2,0,2,2004,,,,
975,63,SLO,0,1,3,4,2004,2.0,0.0,0.0,2.0
976,64,EST,0,1,2,3,2004,1.0,0.0,2.0,3.0
977,65,HKG,0,1,0,1,2004,1.0,0.0,0.0,1.0
978,65,IND,0,1,0,1,2004,0.0,0.0,1.0,1.0
979,65,PAR,0,1,0,1,2004,,,,
980,68,COL,0,0,2,2,2004,1.0,0.0,0.0,1.0
981,68,NGR,0,0,2,2,2004,1.0,2.0,0.0,3.0
982,68,VEN,0,0,2,2,2004,0.0,0.0,3.0,3.0
983,71,ERI,0,0,1,1,2004,,,,
984,71,MGL,0,0,1,1,2004,0.0,0.0,1.0,1.0
985,71,SYR,0,0,1,1,2004,1.0,0.0,0.0,1.0
986,71,TTO,0,0,1,1,2004,0.0,1.0,1.0,2.0
987,1,CHN,48,22,30,100,2008,32.0,17.0,14.0,63.0
988,2,USA,36,39,37,112,2008,36.0,39.0,26.0,101.0
989,3,RUS,24,13,23,60,2008,28.0,26.0,36.0,90.0
990,4,GBR,19,13,19,51,2008,9.0,9.0,12.0,30.0
991,5,GER,16,11,14,41,2008,13.0,16.0,20.0,49.0
992,6,AUS,14,15,17,46,2008,17.0,16.0,17.0,50.0
993,7,KOR,13,11,8,32,2008,9.0,12.0,9.0,30.0
994,8,JPN,9,8,8,25,2008,16.0,9.0,12.0,37.0
995,9,ITA,8,9,10,27,2008,10.0,11.0,11.0,32.0
996,10,FRA,7,16,20,43,2008,11.0,9.0,13.0,33.0
997,11,NED,7,5,4,16,2008,4.0,9.0,9.0,22.0
998,12,UKR,7,4,11,22,2008,8.0,5.0,9.0,22.0
999,13,KEN,6,4,6,16,2008,1.0,4.0,2.0,7.0
1000,14,ESP,5,11,3,19,2008,3.0,11.0,6.0,20.0
1001,15,JAM,5,4,2,11,2008,2.0,1.0,2.0,5.0
1002,16,POL,4,5,2,11,2008,3.0,2.0,5.0,10.0
1003,17,ETH,4,2,1,7,2008,2.0,3.0,2.0,7.0
1004,18,ROU,4,1,4,9,2008,8.0,5.0,6.0,19.0
1005,19,CUB,3,10,17,30,2008,9.0,7.0,11.0,27.0
1006,20,CAN,3,9,8,20,2008,3.0,6.0,3.0,12.0
1007,21,HUN,3,5,2,10,2008,8.0,6.0,3.0,17.0
1008,22,NOR,3,5,1,9,2008,5.0,0.0,1.0,6.0
1009,23,BRA,3,4,10,17,2008,5.0,2.0,3.0,10.0
1010,24,BLR,3,4,7,14,2008,2.0,5.0,6.0,13.0
1011,25,CZE,3,3,1,7,2008,1.0,3.0,5.0,9.0
1012,26,SVK,3,3,0,6,2008,2.0,2.0,2.0,6.0
1013,27,NZL,3,2,4,9,2008,3.0,2.0,0.0,5.0
1014,28,GEO,3,2,2,7,2008,2.0,2.0,0.0,4.0
1015,29,KAZ,2,3,4,9,2008,1.0,4.0,3.0,8.0
1016,30,DEN,2,2,3,7,2008,2.0,1.0,5.0,8.0
1017,31,PRK,2,2,2,6,2008,0.0,4.0,1.0,5.0
1018,31,THA,2,2,2,6,2008,3.0,1.0,4.0,8.0
1019,33,MGL,2,2,0,4,2008,0.0,0.0,1.0,1.0
1020,34,SUI,2,1,4,7,2008,1.0,1.0,3.0,5.0
1021,35,ARG,2,0,4,6,2008,2.0,0.0,4.0,6.0
1022,36,MEX,2,0,2,4,2008,0.0,3.0,1.0,4.0
1023,37,BEL,2,0,0,2,2008,1.0,0.0,2.0,3.0
1024,38,ZIM,1,3,0,4,2008,1.0,1.0,1.0,3.0
1025,39,SLO,1,2,2,5,2008,0.0,1.0,3.0,4.0
1026,40,AZE,1,1,4,6,2008,1.0,0.0,4.0,5.0
1027,40,INA,1,1,4,6,2008,1.0,1.0,2.0,4.0
1028,42,BUL,1,1,3,5,2008,2.0,1.0,9.0,12.0
1029,42,TUR,1,1,3,5,2008,3.0,3.0,4.0,10.0
1030,44,FIN,1,1,2,4,2008,0.0,2.0,0.0,2.0
1031,44,TPE,1,1,2,4,2008,2.0,2.0,1.0,5.0
1032,46,LAT,1,1,1,3,2008,0.0,4.0,0.0,4.0
1033,47,DOM,1,1,0,2,2008,1.0,0.0,0.0,1.0
1034,47,EST,1,1,0,2,2008,0.0,1.0,2.0,3.0
1035,47,POR,1,1,0,2,2008,0.0,2.0,1.0,3.0
1036,47,TTO,1,1,0,2,2008,0.0,0.0,1.0,1.0
1037,51,IND,1,0,2,3,2008,0.0,1.0,0.0,1.0
1038,52,IRI,1,0,1,2,2008,2.0,2.0,2.0,6.0
1039,53,CMR,1,0,0,1,2008,1.0,0.0,0.0,1.0
1040,53,PAN,1,0,0,1,2008,0.0,0.0,2.0,2.0
1041,53,TUN,1,0,0,1,2008,0.0,0.0,1.0,1.0
1042,56,SWE,0,4,1,5,2008,4.0,2.0,1.0,7.0
1043,57,LTU,0,3,2,5,2008,1.0,2.0,0.0,3.0
1044,57,NGR,0,3,2,5,2008,0.0,0.0,2.0,2.0
1045,59,CRO,0,2,3,5,2008,1.0,2.0,2.0,5.0
1046,60,COL,0,2,1,3,2008,0.0,0.0,2.0,2.0
1047,60,GRE,0,2,1,3,2008,6.0,6.0,4.0,16.0
1048,62,ARM,0,1,4,5,2008,0.0,0.0,1.0,1.0
1049,63,UZB,0,1,3,4,2008,2.0,1.0,2.0,5.0
1050,64,AUT,0,1,2,3,2008,2.0,4.0,1.0,7.0
1051,64,IRL,0,1,2,3,2008,0.0,1.0,0.0,1.0
1052,64,KGZ,0,1,2,3,2008,0.0,0.0,1.0,1.0
1053,64,SRB,0,1,2,3,2008,,,,
1054,68,ALG,0,1,1,2,2008,1.0,1.0,3.0,5.0
1055,68,BAH,0,1,1,2,2008,1.0,0.0,1.0,2.0
1056,68,MAR,0,1,1,2,2008,2.0,1.0,0.0,3.0
1057,68,TJK,0,1,1,2,2008,,,,
1058,72,CHI,0,1,0,1,2008,2.0,0.0,1.0,3.0
1059,72,ECU,0,1,0,1,2008,1.0,0.0,0.0,1.0
1060,72,ISL,0,1,0,1,2008,0.0,0.0,1.0,1.0
1061,72,MAS,0,1,0,1,2008,0.0,1.0,1.0,2.0
1062,72,RSA,0,1,0,1,2008,1.0,3.0,2.0,6.0
1063,72,SAM,0,1,0,1,2008,,,,
1064,72,SGP,0,1,0,1,2008,0.0,1.0,0.0,1.0
1065,72,SUD,0,1,0,1,2008,,,,
1066,72,VIE,0,1,0,1,2008,0.0,1.0,0.0,1.0
1067,81,EGY,0,0,2,2,2008,1.0,1.0,3.0,5.0
1068,82,AFG,0,0,1,1,2008,,,,
1069,82,ISR,0,0,1,1,2008,1.0,0.0,1.0,2.0
1070,82,MDA,0,0,1,1,2008,0.0,1.0,1.0,2.0
1071,82,MRI,0,0,1,1,2008,,,,
1072,82,TOG,0,0,1,1,2008,,,,
1073,82,VEN,0,0,1,1,2008,0.0,0.0,2.0,2.0
1074,1,USA,48,26,30,104,2012,36.0,39.0,37.0,112.0
1075,2,CHN,39,31,22,92,2012,48.0,22.0,30.0,100.0
1076,3,GBR,29,18,18,65,2012,19.0,13.0,19.0,51.0
1077,4,RUS,18,21,26,65,2012,24.0,13.0,23.0,60.0
1078,5,KOR,13,9,9,31,2012,13.0,11.0,8.0,32.0
1079,6,GER,11,20,13,44,2012,16.0,11.0,14.0,41.0
1080,7,FRA,11,11,13,35,2012,7.0,16.0,20.0,43.0
1081,8,AUS,8,15,12,35,2012,14.0,15.0,17.0,46.0
1082,9,ITA,8,9,11,28,2012,8.0,9.0,10.0,27.0
1083,10,HUN,8,4,6,18,2012,3.0,5.0,2.0,10.0
1084,11,JPN,7,14,17,38,2012,9.0,8.0,8.0,25.0
1085,12,IRI,7,5,1,13,2012,1.0,0.0,1.0,2.0
1086,13,NED,6,6,8,20,2012,7.0,5.0,4.0,16.0
1087,14,NZL,6,2,5,13,2012,3.0,2.0,4.0,9.0
1088,15,UKR,5,4,10,19,2012,7.0,4.0,11.0,22.0
1089,16,CUB,5,3,7,15,2012,3.0,10.0,17.0,30.0
1090,17,ESP,4,10,6,20,2012,5.0,11.0,3.0,19.0
1091,18,JAM,4,5,4,13,2012,5.0,4.0,2.0,11.0
1092,19,CZE,4,4,3,11,2012,3.0,3.0,1.0,7.0
1093,20,RSA,4,1,1,6,2012,0.0,1.0,0.0,1.0
1094,21,PRK,4,0,2,6,2012,2.0,2.0,2.0,6.0
1095,22,BRA,3,5,9,17,2012,3.0,4.0,10.0,17.0
1096,23,KAZ,3,2,6,11,2012,2.0,3.0,4.0,9.0
1097,23,POL,3,2,6,11,2012,4.0,5.0,2.0,11.0
1098,25,ETH,3,2,3,8,2012,4.0,2.0,1.0,7.0
1099,26,CRO,3,1,2,6,2012,0.0,2.0,3.0,5.0
1100,27,CAN,2,6,10,18,2012,3.0,9.0,8.0,20.0
1101,28,BLR,2,5,3,10,2012,3.0,4.0,7.0,14.0
1102,29,KEN,2,4,7,13,2012,6.0,4.0,6.0,16.0
1103,30,DEN,2,4,3,9,2012,2.0,2.0,3.0,7.0
1104,31,ROU,2,4,1,7,2012,4.0,1.0,4.0,9.0
1105,32,AZE,2,2,5,9,2012,1.0,1.0,4.0,6.0
1106,33,SUI,2,2,0,4,2012,2.0,1.0,4.0,7.0
1107,34,NOR,2,1,1,4,2012,3.0,5.0,1.0,9.0
1108,35,LTU,2,0,3,5,2012,0.0,3.0,2.0,5.0
1109,36,TUN,2,0,1,3,2012,1.0,0.0,0.0,1.0
1110,37,SWE,1,4,3,8,2012,0.0,4.0,1.0,5.0
1111,38,COL,1,3,5,9,2012,0.0,2.0,1.0,3.0
1112,39,MEX,1,3,4,8,2012,2.0,0.0,2.0,4.0
1113,40,GEO,1,2,3,6,2012,3.0,2.0,2.0,7.0
1114,41,IRL,1,1,4,6,2012,0.0,1.0,2.0,3.0
1115,42,ARG,1,1,2,4,2012,2.0,0.0,4.0,6.0
1116,42,SLO,1,1,2,4,2012,1.0,2.0,2.0,5.0
1117,42,SRB,1,1,2,4,2012,0.0,1.0,2.0,3.0
1118,42,TTO,1,1,2,4,2012,1.0,1.0,0.0,2.0
1119,46,TUR,1,1,1,3,2012,1.0,1.0,3.0,5.0
1120,47,DOM,1,1,0,2,2012,1.0,1.0,0.0,2.0
1121,48,LAT,1,0,1,2,2012,1.0,1.0,1.0,3.0
1122,48,TPE,1,0,1,2,2012,1.0,1.0,2.0,4.0
1123,50,ALG,1,0,0,1,2012,0.0,1.0,1.0,2.0
1124,50,BAH,1,0,0,1,2012,0.0,1.0,1.0,2.0
1125,50,BRN,1,0,0,1,2012,,,,
1126,50,GRN,1,0,0,1,2012,,,,
1127,50,UGA,1,0,0,1,2012,0.0,0.0,1.0,1.0
1128,50,VEN,1,0,0,1,2012,0.0,0.0,1.0,1.0
1129,56,EGY,0,3,1,4,2012,0.0,0.0,2.0,2.0
1130,57,IND,0,2,4,6,2012,1.0,0.0,2.0,3.0
1131,58,MGL,0,2,3,5,2012,2.0,2.0,0.0,4.0
1132,59,THA,0,2,2,4,2012,2.0,2.0,2.0,6.0
1133,60,BUL,0,2,1,3,2012,1.0,1.0,3.0,5.0
1134,60,FIN,0,2,1,3,2012,1.0,1.0,2.0,4.0
1135,60,INA,0,2,1,3,2012,1.0,1.0,4.0,6.0
1136,63,SVK,0,1,3,4,2012,3.0,3.0,0.0,6.0
1137,64,BEL,0,1,2,3,2012,2.0,0.0,0.0,2.0
1138,65,ARM,0,1,1,2,2012,0.0,1.0,4.0,5.0
1139,65,EST,0,1,1,2,2012,1.0,1.0,0.0,2.0
1140,65,MAS,0,1,1,2,2012,0.0,1.0,0.0,1.0
1141,65,PUR,0,1,1,2,2012,0.0,0.0,1.0,1.0
1142,65,QAT,0,1,1,2,2012,0.0,0.0,1.0,1.0
1143,70,BOT,0,1,0,1,2012,,,,
1144,70,CYP,0,1,0,1,2012,,,,
1145,70,GAB,0,1,0,1,2012,,,,
1146,70,GUA,0,1,0,1,2012,,,,
1147,70,MNE,0,1,0,1,2012,,,,
1148,70,POR,0,1,0,1,2012,1.0,1.0,0.0,2.0
1149,76,UZB,0,0,3,3,2012,0.0,1.0,3.0,4.0
1150,77,GRE,0,0,2,2,2012,0.0,2.0,1.0,3.0
1151,77,SGP,0,0,2,2,2012,0.0,1.0,0.0,1.0
1152,79,AFG,0,0,1,1,2012,0.0,0.0,1.0,1.0
1153,79,CMR,0,0,1,1,2012,1.0,0.0,0.0,1.0
1154,79,HKG,0,0,1,1,2012,0.0,1.0,0.0,1.0
1155,79,KSA,0,0,1,1,2012,0.0,1.0,1.0,2.0
1156,79,KUW,0,0,1,1,2012,0.0,0.0,1.0,1.0
1157,79,MAR,0,0,1,1,2012,0.0,1.0,1.0,2.0
1158,79,TJK,0,0,1,1,2012,0.0,1.0,1.0,2.0
1159,79,VIE,0,0,1,1,2012,0.0,1.0,0.0,1.0
1160,1,USA,46,37,38,121,2016,48.0,26.0,30.0,104.0
1161,2,GBR,27,23,17,67,2016,29.0,18.0,18.0,65.0
1162,3,CHN,26,18,26,70,2016,39.0,31.0,22.0,92.0
1163,4,RUS,19,17,20,56,2016,18.0,21.0,26.0,65.0
1164,5,GER,17,10,15,42,2016,11.0,20.0,13.0,44.0
1165,6,JPN,12,8,21,41,2016,7.0,14.0,17.0,38.0
1166,7,FRA,10,18,14,42,2016,11.0,11.0,13.0,35.0
1167,8,KOR,9,3,9,21,2016,13.0,9.0,9.0,31.0
1168,9,ITA,8,12,8,28,2016,8.0,9.0,11.0,28.0
1169,10,AUS,8,11,10,29,2016,8.0,15.0,12.0,35.0
1170,11,NED,8,7,4,19,2016,6.0,6.0,8.0,20.0
1171,12,HUN,8,3,4,15,2016,8.0,4.0,6.0,18.0
1172,13,BRA,7,6,6,19,2016,3.0,5.0,9.0,17.0
1173,14,ESP,7,4,6,17,2016,4.0,10.0,6.0,20.0
1174,15,KEN,6,6,1,13,2016,2.0,4.0,7.0,13.0
1175,16,JAM,6,3,2,11,2016,4.0,5.0,4.0,13.0
1176,17,CRO,5,3,2,10,2016,3.0,1.0,2.0,6.0
1177,18,CUB,5,2,4,11,2016,5.0,3.0,7.0,15.0
1178,19,NZL,4,9,5,18,2016,6.0,2.0,5.0,13.0
1179,20,CAN,4,3,15,22,2016,2.0,6.0,10.0,18.0
1180,21,UZB,4,2,7,13,2016,0.0,0.0,3.0,3.0
1181,22,COL,3,2,3,8,2016,1.0,3.0,5.0,9.0
1182,23,SUI,3,2,2,7,2016,2.0,2.0,0.0,4.0
1183,24,IRI,3,1,4,8,2016,7.0,5.0,1.0,13.0
1184,25,GRE,3,1,2,6,2016,0.0,0.0,2.0,2.0
1185,26,ARG,3,1,0,4,2016,1.0,1.0,2.0,4.0
1186,27,DEN,2,6,7,15,2016,2.0,4.0,3.0,9.0
1187,28,SWE,2,6,3,11,2016,1.0,4.0,3.0,8.0
1188,29,RSA,2,6,2,10,2016,4.0,1.0,1.0,6.0
1189,30,KAZ,2,5,10,17,2016,3.0,2.0,6.0,11.0
1190,31,UKR,2,5,4,11,2016,5.0,4.0,10.0,19.0
1191,32,SRB,2,4,2,8,2016,1.0,1.0,2.0,4.0
1192,33,POL,2,3,6,11,2016,3.0,2.0,6.0,11.0
1193,34,PRK,2,3,2,7,2016,4.0,0.0,2.0,6.0
1194,35,BEL,2,2,2,6,2016,0.0,1.0,2.0,3.0
1195,35,THA,2,2,2,6,2016,0.0,2.0,2.0,4.0
1196,37,SVK,2,2,0,4,2016,0.0,1.0,3.0,4.0
1197,38,GEO,2,1,4,7,2016,1.0,2.0,3.0,6.0
1198,39,AZE,1,7,10,18,2016,2.0,2.0,5.0,9.0
1199,40,BLR,1,4,4,9,2016,2.0,5.0,3.0,10.0
1200,41,TUR,1,3,4,8,2016,1.0,1.0,1.0,3.0
1201,42,ARM,1,3,0,4,2016,0.0,1.0,1.0,2.0
1202,43,CZE,1,2,7,10,2016,4.0,4.0,3.0,11.0
1203,44,ETH,1,2,5,8,2016,3.0,2.0,3.0,8.0
1204,45,SLO,1,2,1,4,2016,1.0,1.0,2.0,4.0
1205,46,INA,1,2,0,3,2016,0.0,2.0,1.0,3.0
1206,47,ROU,1,1,2,4,2016,2.0,4.0,1.0,7.0
1207,48,BRN,1,1,0,2,2016,1.0,0.0,0.0,1.0
1208,48,VIE,1,1,0,2,2016,0.0,0.0,1.0,1.0
1209,50,TPE,1,0,2,3,2016,1.0,0.0,1.0,2.0
1210,51,BAH,1,0,1,2,2016,1.0,0.0,0.0,1.0
1211,51,CIV,1,0,1,2,2016,0.0,1.0,0.0,1.0
1212,54,FIJ,1,0,0,1,2016,,,,
1213,54,JOR,1,0,0,1,2016,,,,
1214,54,KOS,1,0,0,1,2016,,,,
1215,54,PUR,1,0,0,1,2016,0.0,1.0,1.0,2.0
1216,54,SGP,1,0,0,1,2016,0.0,0.0,2.0,2.0
1217,54,TJK,1,0,0,1,2016,0.0,0.0,1.0,1.0
1218,60,MAS,0,4,1,5,2016,0.0,1.0,1.0,2.0
1219,61,MEX,0,3,2,5,2016,1.0,3.0,4.0,8.0
1220,62,VEN,0,2,1,3,2016,1.0,0.0,0.0,1.0
1221,63,ALG,0,2,0,2,2016,1.0,0.0,0.0,1.0
1222,63,IRL,0,2,0,2,2016,1.0,1.0,4.0,6.0
1223,65,LTU,0,1,3,4,2016,2.0,0.0,3.0,5.0
1224,66,BUL,0,1,2,3,2016,0.0,2.0,1.0,3.0
1225,67,IND,0,1,1,2,2016,0.0,2.0,4.0,6.0
1226,67,MGL,0,1,1,2,2016,0.0,2.0,3.0,5.0
1227,69,BDI,0,1,0,1,2016,1.0,0.0,0.0,1.0
1228,69,GRN,0,1,0,1,2016,1.0,0.0,0.0,1.0
1229,69,NIG,0,1,0,1,2016,0.0,0.0,1.0,1.0
1230,69,PHI,0,1,0,1,2016,0.0,1.0,0.0,1.0
1231,69,QAT,0,1,0,1,2016,0.0,1.0,1.0,2.0
1232,74,NOR,0,0,4,4,2016,2.0,1.0,1.0,4.0
1233,75,EGY,0,0,3,3,2016,0.0,3.0,1.0,4.0
1234,75,TUN,0,0,3,3,2016,2.0,0.0,1.0,3.0
1235,77,ISR,0,0,2,2,2016,0.0,0.0,1.0,1.0
1236,78,AUT,0,0,1,1,2016,0.0,1.0,2.0,3.0
1237,78,DOM,0,0,1,1,2016,1.0,1.0,0.0,2.0
1238,78,EST,0,0,1,1,2016,0.0,1.0,1.0,2.0
